date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:19:18	242448/242448	---M--	200	added ('OK')	image/png	etag:%22d94da6f72e18d0cfff6358a2422c80ee%22	https://s3.eu-west-1.amazonaws.com/cdn.growtopiagame.com/website/resources/assets/upload/resize/1_grow_feature_1550391017.png	C:/Benim%20Web%20Sitem/growtopiagame/s3.eu-west-1.amazonaws.com/cdn.growtopiagame.com/website/resources/assets/upload/resize/1_grow_feature_1550391017.png	(from https://www.growtopiagame.com/)
20:19:19	510675/510675	---M--	200	added ('OK')	image/png	etag:%2261cc0a0cbf0fb77327a4a3395b4a874a%22	https://s3.eu-west-1.amazonaws.com/cdn.growtopiagame.com/website/resources/assets/upload/1_grow_feature_1550388739.png	C:/Benim%20Web%20Sitem/growtopiagame/s3.eu-west-1.amazonaws.com/cdn.growtopiagame.com/website/resources/assets/upload/1_grow_feature_1550388739.png	(from https://www.growtopiagame.com/)
20:19:19	238063/238063	---M--	200	added ('OK')	image/png	etag:%22c88e73d713f41c8050f01ca833c6df3b%22	https://s3.eu-west-1.amazonaws.com/cdn.growtopiagame.com/website/resources/assets/upload/resize/1_grow_feature_1550388739.png	C:/Benim%20Web%20Sitem/growtopiagame/s3.eu-west-1.amazonaws.com/cdn.growtopiagame.com/website/resources/assets/upload/resize/1_grow_feature_1550388739.png	(from https://www.growtopiagame.com/)
20:19:19	387889/387889	---M--	200	added ('OK')	image/png	etag:%227bf219085ad96e778ac8a98a1a4c791c%22	https://s3.eu-west-1.amazonaws.com/cdn.growtopiagame.com/website/resources/assets/upload/1_grow_feature_1550390623.png	C:/Benim%20Web%20Sitem/growtopiagame/s3.eu-west-1.amazonaws.com/cdn.growtopiagame.com/website/resources/assets/upload/1_grow_feature_1550390623.png	(from https://www.growtopiagame.com/)
20:19:20	296252/296252	---M--	200	added ('OK')	image/png	etag:%227d143b6130aeb8cf27642196d01b1895%22	https://s3.eu-west-1.amazonaws.com/cdn.growtopiagame.com/website/resources/assets/upload/resize/1_grow_feature_1550390623.png	C:/Benim%20Web%20Sitem/growtopiagame/s3.eu-west-1.amazonaws.com/cdn.growtopiagame.com/website/resources/assets/upload/resize/1_grow_feature_1550390623.png	(from https://www.growtopiagame.com/)
20:19:20	2687/2687	---M--	200	added ('OK')	image/png	etag:%22b38da0ed56efc68e28b53a3e4043f51d%22	https://s3.eu-west-1.amazonaws.com/cdn.growtopiagame.com/website/resources/assets/images/google_badge.png	C:/Benim%20Web%20Sitem/growtopiagame/s3.eu-west-1.amazonaws.com/cdn.growtopiagame.com/website/resources/assets/images/google_badge.png	(from https://www.growtopiagame.com/)
20:19:20	1865/1865	---M--	200	added ('OK')	image/png	etag:%2297156411bacf26309ef82940d2383002%22	https://s3.eu-west-1.amazonaws.com/cdn.growtopiagame.com/website/resources/assets/images/appstore_badge.png	C:/Benim%20Web%20Sitem/growtopiagame/s3.eu-west-1.amazonaws.com/cdn.growtopiagame.com/website/resources/assets/images/appstore_badge.png	(from https://www.growtopiagame.com/)
20:19:21	2826/2826	---M--	200	added ('OK')	image/png	etag:%2218c68bcb2411bb3696c081a5d303a01f%22	https://s3.eu-west-1.amazonaws.com/cdn.growtopiagame.com/website/resources/assets/images/mac_badge.png	C:/Benim%20Web%20Sitem/growtopiagame/s3.eu-west-1.amazonaws.com/cdn.growtopiagame.com/website/resources/assets/images/mac_badge.png	(from https://www.growtopiagame.com/)
20:19:21	2894/2894	---M--	200	added ('OK')	image/png	etag:%22a1769474c3349534852535e115b69768%22	https://s3.eu-west-1.amazonaws.com/cdn.growtopiagame.com/website/resources/assets/images/windows_badge.png	C:/Benim%20Web%20Sitem/growtopiagame/s3.eu-west-1.amazonaws.com/cdn.growtopiagame.com/website/resources/assets/images/windows_badge.png	(from https://www.growtopiagame.com/)
20:19:22	378042/378042	---M--	200	added ('OK')	image/jpeg	etag:%2203824153384116dbadd80440ddc8eb01%22	https://s3.eu-west-1.amazonaws.com/cdn.growtopiagame.com/website/resources/assets/upload/1_grow_world_love_1550391580.jpg	C:/Benim%20Web%20Sitem/growtopiagame/s3.eu-west-1.amazonaws.com/cdn.growtopiagame.com/website/resources/assets/upload/1_grow_world_love_1550391580.jpg	(from https://www.growtopiagame.com/)
